Company,Product,Type_Name,Inches,Ram,OS,Weight,Price_EUR,Screen,ScreenW,ScreenH,Touch_Screen,IPS_Panel,Retina_Display,CPU_company,CPU_Frequency_GHz,CPU_model,Primary_Storage_GB,Secondary_Storage,Primary_Storage_Type,Secondary_Storage_Type,GPU_company,GPU_model
Lenovo,IdeaPad 320-15IKBN,Notebook,15.60,8,No OS,2.20,549.00,Standard,1366,768,No,No,No,Intel,2.50,Core i5 7200U,2048,0,HDD,No,Nvidia,GeForce 940MX
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.60,8,Windows 10,2.50,1265.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
Lenovo,IdeaPad 320-15IAP,Notebook,15.60,4,No OS,2.20,359.99,Standard,1366,768,No,No,No,Intel,1.10,Pentium Quad Core N4200,1024,0,HDD,No,Intel,HD Graphics 505
HP,EliteBook x360,2 in 1 Convertible,13.30,16,Windows 10,1.28,1975.00,Full HD,1920,1080,Yes,No,No,Intel,2.80,Core i7 7600U,256,0,SSD,No,Intel,HD Graphics 620
Toshiba,Satellite Pro,Notebook,15.60,8,Windows 10,2.20,1043.00,Full HD,1920,1080,No,Yes,No,Intel,2.50,Core i7 6500U,256,0,SSD,No,Nvidia,GeForce 930M
Lenovo,IdeaPad 320-15IKB,Notebook,15.60,8,Windows 10,2.30,819.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,128,1024,SSD,HDD,Nvidia,GeForce 940MX
HP,250 G6,Notebook,15.60,4,Windows 10,1.86,469.00,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520
Lenovo,IdeaPad 720S-13IKB,Notebook,13.30,8,Windows 10,1.10,999.00,Full HD,1920,1080,No,Yes,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Dell,XPS 13,Ultrabook,13.30,16,Windows 10,1.21,2499.00,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.80,Core i7 8550U,1024,0,SSD,No,Intel,UHD Graphics 620
MSI,GE63VR 7RF,Gaming,15.60,16,Windows 10,2.80,2099.00,Full HD,1920,1080,No,Yes,No,Intel,2.80,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.60,8,Windows 10,2.23,469.00,Full HD,1920,1080,No,No,No,AMD,2.20,A8-Series 7410,256,0,SSD,No,AMD,Radeon R5
Asus,VivoBook Flip,2 in 1 Convertible,11.60,2,Windows 10,1.10,275.00,Standard,1366,768,Yes,No,No,Intel,1.10,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Dell,Inspiron 5570,Notebook,15.60,8,Windows 10,2.33,844.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530
HP,Spectre x360,2 in 1 Convertible,13.30,16,Windows 10,1.29,2449.00,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.80,Core i7 8550U,1024,0,SSD,No,Intel,UHD Graphics 620
Lenovo,ThinkPad 13,Notebook,13.30,4,Chrome OS,1.45,459.90,Standard,1366,768,No,No,No,Intel,1.60,Celeron Dual Core 3855U,16,0,Flash Storage,No,Intel,HD Graphics 510
HP,ProBook 640,Notebook,14.00,8,Windows 10,1.95,980.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Acer,TravelMate B,Notebook,11.60,4,Windows 10,1.40,485.00,Standard,1366,768,No,No,No,Intel,1.60,Pentium Quad Core N3710,128,0,Flash Storage,No,Intel,HD Graphics 405
HP,Elitebook 840,Notebook,14.00,8,Windows 10,1.48,1292.00,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-17IKB,Notebook,17.30,4,Windows 10,2.79,589.00,Standard,1600,900,No,No,No,Intel,2.50,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce 920MX
Asus,ZenBook UX410UA-GV183T,Notebook,14.00,8,Windows 10,2.00,1094.00,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
HP,ProBook 450,Notebook,15.60,8,Windows 10,2.10,902.00,Full HD,1366,768,No,Yes,No,Intel,1.80,Core i7 8550U,1024,0,HDD,No,Intel,UHD Graphics 620
Acer,Aspire 5,Notebook,15.60,8,Windows 10,2.20,659.00,Standard,1366,768,No,No,No,AMD,2.70,A12-Series 9720P,256,0,SSD,No,AMD,Radeon RX 540
Lenovo,IdeaPad 120S-14IAP,Notebook,14.00,4,Windows 10,1.44,292.00,Standard,1366,768,No,No,No,Intel,1.10,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Acer,Aspire E5-575,Notebook,15.60,6,Windows 10,2.23,549.00,Standard,1366,768,No,No,No,Intel,2.50,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620
Asus,VivoBook S15,Ultrabook,15.60,8,Windows 10,1.70,1049.90,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce 940MX
HP,Elitebook 820,Ultrabook,12.50,8,Windows 10,1.26,1335.00,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Dell,XPS 15,Notebook,15.60,32,Windows 10,2.06,2639.00,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.80,Core i7 7700HQ,1024,0,SSD,No,Nvidia,GeForce GTX 1050
MSI,GL72M 7REX,Gaming,17.30,8,Windows 10,2.70,1199.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
Toshiba,Satellite Pro,Notebook,15.60,8,Windows 10,2.00,943.00,Full HD,1920,1080,No,Yes,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.00,8,Windows 10,2.00,1334.00,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,256,1024,SSD,HDD,Intel,HD Graphics 620
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.60,4,Windows 10,1.85,449.00,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.60,8,Windows 10,2.50,999.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050
HP,EliteBook 840,Notebook,14.00,8,Windows 10,1.48,1268.00,Full HD,1920,1080,No,No,No,Intel,2.60,Core i5 7300U,256,0,SSD,No,Intel,HD Graphics 620
Dell,Inspiron 7570,Ultrabook,15.60,8,Windows 10,1.90,1049.00,Full HD,1920,1080,No,Yes,No,Intel,1.60,Core i5 8250U,128,1024,SSD,HDD,Nvidia,GeForce 940MX
HP,Elitebook 850,Notebook,15.60,8,Windows 10,1.84,1144.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.60,4,Linux,2.00,274.99,Standard,1366,768,No,No,No,Intel,1.10,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500
Dell,Inspiron 7570,Notebook,15.60,8,Windows 10,2.00,1142.75,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Nvidia,GeForce 940MX
Dell,Inspiron 3552,Notebook,15.60,4,Linux,2.20,274.90,Standard,1366,768,No,No,No,Intel,1.60,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics
Lenovo,IdeaPad 320-15ABR,Notebook,15.60,12,Windows 10,2.20,899.00,Full HD,1920,1080,No,No,No,AMD,3.60,A12-Series 9720P,2048,0,HDD,No,AMD,Radeon 530
HP,ProBook 450,Notebook,15.60,8,Windows 10,2.10,716.00,Full HD,1920,1080,No,Yes,No,Intel,2.40,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 930MX 
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.90,16,Windows 10,1.40,2099.00,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.80,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620
Dell,XPS 13,Ultrabook,13.30,8,Windows 10,1.20,1579.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620
Lenovo,Legion Y520-15IKBN,Gaming,15.60,16,Windows 10,2.40,1129.00,Full HD,1920,1080,No,Yes,No,Intel,2.80,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
HP,Stream 14-AX001nv,Notebook,14.00,2,Windows 10,1.44,279.00,Standard,1366,768,No,No,No,Intel,1.60,Celeron Dual Core N3060,32,0,Flash Storage,No,Intel,HD Graphics 400
Dell,Latitude 5590,Ultrabook,15.60,16,Windows 10,1.88,1607.96,Full HD,1920,1080,No,No,No,Intel,1.90,Core i7 8650U,512,256,SSD,SSD,Intel,UHD Graphics 620
Asus,VivoBook Flip,2 in 1 Convertible,11.60,4,Windows 10,1.50,375.00,Standard,1366,768,Yes,No,No,Intel,1.10,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Dell,Inspiron 5570,Ultrabook,15.60,8,Windows 10,1.90,663.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,1024,0,HDD,No,AMD,Radeon 530
Dell,XPS 15,Notebook,15.60,16,Windows 10,2.06,2027.42,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.80,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050
HP,Elitebook 850,Notebook,15.60,8,Windows 10,1.84,1304.00,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
MSI,GP72MVR 7RFX,Gaming,17.30,8,Windows 10,2.70,1409.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060
HP,Zbook 15,Workstation,15.60,8,Windows 10,2.60,1738.27,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,256,0,SSD,No,Nvidia,Quadro M1200
Toshiba,Tecra A50-C-21G,Notebook,15.60,16,Windows 10,2.40,1403.00,Full HD,1920,1080,No,Yes,No,Intel,2.50,Core i7 6500U,512,0,SSD,No,Nvidia,GeForce 930M
Dell,Inspiron 5570,Notebook,15.60,8,Windows 10,2.02,970.90,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,128,2048,SSD,HDD,AMD,Radeon 530
Lenovo,IdeaPad 320-15IAP,Notebook,15.60,4,No OS,2.20,321.99,Standard,1366,768,No,No,No,Intel,1.10,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500
Dell,Inspiron 7577,Gaming,15.60,8,Windows 10,2.65,999.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7300HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050
Dell,Inspiron 3567,Notebook,15.60,8,Windows 10,2.36,557.37,Standard,1366,768,Yes,No,No,Intel,2.50,Core i5 7200U,2048,0,HDD,No,Intel,HD Graphics 620
Dell,Latitude 7480,Notebook,14.00,8,Windows 10,1.36,1427.00,Full HD,1920,1080,No,No,No,Intel,2.60,Core i5 7300U,256,0,SSD,No,Intel,HD Graphics 620
HP,250 G6,Notebook,15.60,4,Windows 10,1.86,439.00,Standard,1366,768,No,No,No,Intel,2.00,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520
Asus,Zenbook UX410UA-GV027T,Notebook,14.00,8,Windows 10,2.00,945.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-17IKB,Notebook,17.30,6,Windows 10,2.80,719.00,Standard,1600,900,No,No,No,Intel,2.50,Core i5 7200U,128,1024,SSD,HDD,Nvidia,GeForce GTX 940MX
HP,250 G6,Notebook,15.60,8,Windows 10,1.86,639.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-15ISK,Notebook,15.60,8,No OS,2.20,499.00,Standard,1366,768,No,No,No,Intel,2.00,Core i3 6006U,256,0,SSD,No,Nvidia,GeForce 920MX 
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.60,8,Windows 10,2.04,389.00,Standard,1366,768,No,No,No,Intel,1.60,Pentium Quad Core N3710,2048,0,HDD,No,Intel,HD Graphics 405
Dell,Inspiron 5770,Notebook,17.30,8,Windows 10,2.80,1085.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530
Lenovo,Legion Y520-15IKBN,Gaming,15.60,8,No OS,2.40,809.00,Full HD,1920,1080,No,Yes,No,Intel,2.50,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050
Dell,Inspiron 5567,Notebook,15.60,8,Windows 10,2.33,899.00,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,AMD,Radeon R7 M445
HP,Elitebook 1040,Ultrabook,14.00,8,Windows 10,1.36,1750.00,Full HD,1920,1080,No,Yes,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Asus,ZenBook Flip,2 in 1 Convertible,15.60,12,Windows 10,2.26,1099.00,Full HD,1920,1080,Yes,No,No,Intel,2.70,Core i7 7500U,512,2048,SSD,HDD,Nvidia,GeForce GT 940MX
Acer,Aspire 3,Notebook,15.60,4,Windows 10,2.10,426.00,Standard,1366,768,No,No,No,AMD,3.00,A9-Series 9420,128,0,SSD,No,AMD,Radeon R5
Asus,Rog Strix,Gaming,17.30,16,Windows 10,3.25,2199.00,Full HD,1920,1080,No,Yes,No,AMD,3.00,Ryzen 1700,256,1024,SSD,HDD,AMD,Radeon RX 580
Lenovo,IdeaPad 110-17ACL,Notebook,17.30,4,Windows 10,2.60,489.00,Standard,1600,900,No,No,No,AMD,2.20,A8-Series 7410,128,0,SSD,No,AMD,Radeon R5
Dell,Inspiron 5379,2 in 1 Convertible,13.30,8,Windows 10,1.62,869.01,Full HD,1920,1080,Yes,No,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.60,4,Windows 10,1.91,488.99,Full HD,1920,1080,No,No,No,AMD,3.00,A9-Series 9420,256,0,SSD,No,AMD,Radeon R5
Lenovo,Yoga 11e,Netbook,11.60,4,Windows 10,1.59,553.00,Standard,1366,768,No,Yes,No,Intel,1.10,Celeron Quad Core N3450,128,0,SSD,No,Intel,HD Graphics 500
Dell,Inspiron 3552,Notebook,15.60,4,Windows 10,1.80,309.00,Standard,1366,768,No,No,No,Intel,1.60,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics 400
Asus,VivoBook E403NA,Notebook,14.00,4,Windows 10,1.50,286.00,Standard,1366,768,No,No,No,Intel,1.10,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Acer,Aspire 7,Notebook,15.60,8,Linux,2.40,846.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050
HP,Omen 17-w212nv,Gaming,17.30,8,Windows 10,3.35,1191.00,Full HD,1920,1080,No,Yes,No,Intel,2.80,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.60,4,No OS,1.85,403.50,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520
Asus,ROG Strix,Gaming,15.60,8,Windows 10,2.30,1655.00,Full HD,1920,1080,No,Yes,No,Intel,2.80,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060
Lenovo,IdeaPad 720S-14IKB,Notebook,14.00,8,Windows 10,1.50,1099.00,Full HD,1920,1080,No,Yes,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX
Asus,Zenbook Flip,Ultrabook,13.30,16,Windows 10,1.10,1748.90,Full HD,1920,1080,Yes,No,No,Intel,2.70,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Lenovo,Thinkpad X1,Ultrabook,14.00,8,Windows 10,1.13,2282.00,Standard,2560,1440,No,Yes,No,Intel,2.70,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Lenovo,Ideapad 510S-13IKB,Notebook,13.30,4,Windows 10,1.50,549.00,Full HD,1920,1080,No,Yes,No,Intel,2.40,Core i3 7100U,128,0,SSD,No,Intel,HD Graphics 620
Dell,Precision 3510,Workstation,15.60,8,Windows 10,2.23,1369.00,Full HD,1920,1080,No,No,No,Intel,2.60,Core i5 6440HQ,500,0,HDD,No,AMD,FirePro W5130M
Dell,Precision 5520,Workstation,15.60,8,Windows 10,2.00,2135.00,Full HD,1920,1080,No,Yes,No,Intel,2.70,Core i7 6820HQ,256,0,SSD,No,Nvidia,Quadro M1200
Lenovo,ThinkPad X1,2 in 1 Convertible,14.00,16,Windows 10,1.42,2509.00,Standard,2560,1440,Yes,No,No,Intel,2.70,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Asus,Rog GL753VD-GC042T,Gaming,17.30,8,Windows 10,3.00,1039.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050
Asus,Rog GL753VE-GC070T,Gaming,17.30,16,Windows 10,3.00,1591.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
Acer,Aspire 5,Notebook,15.60,12,Windows 10,2.20,693.99,Standard,1366,768,No,Yes,No,Intel,1.60,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce MX130
MSI,Leopard GP72M,Gaming,17.30,8,Windows 10,2.70,1349.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050 Ti
Dell,Inspiron 5567,Notebook,15.60,8,Linux,2.33,778.87,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,AMD,Radeon R7 M445
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.60,4,Windows 10,1.91,499.00,Full HD,1920,1080,No,No,No,AMD,3.00,A9-Series 9420,256,0,SSD,No,AMD,Radeon 520
Lenovo,ThinkPad E580,Notebook,15.60,8,Windows 10,2.10,1229.56,Full HD,1920,1080,No,Yes,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,AMD,Radeon RX 550
Lenovo,ThinkPad L470,Notebook,14.00,8,Windows 10,1.90,938.00,Full HD,1920,1080,No,Yes,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Dell,Precision M5520,Workstation,15.60,8,Windows 10,1.78,2712.00,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.80,Core i7 7700HQ,256,0,SSD,No,Nvidia,Quadro M1200
Lenovo,Thinkpad X1,Ultrabook,14.00,16,Windows 10,1.13,2625.00,Standard,2560,1440,No,Yes,No,Intel,2.70,Core i7 7500U,1024,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-15IAP,Notebook,15.60,4,Windows 10,2.20,306.00,Standard,1366,768,No,No,No,Intel,1.10,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.30,16,Windows 10,2.90,1529.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050
Lenovo,ThinkPad E580,Notebook,15.60,8,Windows 10,2.10,1144.50,Full HD,1920,1080,No,Yes,No,Intel,1.60,Core i5 8250U,256,1024,SSD,HDD,AMD,Radeon RX 550
Acer,Aspire 7,Notebook,15.60,8,Linux,2.50,879.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050
MSI,GE73VR 7RF,Gaming,17.30,16,Windows 10,2.80,2249.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070
Asus,Zenbook 3,Ultrabook,14.00,8,Windows 10,1.10,1873.00,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Toshiba,Portege Z30-C-16P,Ultrabook,13.30,16,Windows 10,1.20,1747.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i7 6500U,512,0,SSD,No,Intel,HD Graphics 520
Dell,Latitude 7480,Ultrabook,14.00,8,Windows 10,1.36,1680.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7600U,512,0,SSD,No,Intel,HD Graphics
Lenovo,IdeaPad 320-15ISK,Notebook,15.60,4,Windows 10,2.20,409.00,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520
Lenovo,Lenovo IdeaPad,Notebook,11.60,2,Windows 10,1.15,304.45,Standard,1366,768,No,No,No,Intel,1.10,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Lenovo,ThinkPad P51,Workstation,15.60,8,Windows 10,2.67,1925.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,512,0,SSD,No,Nvidia,Quadro M1200
Lenovo,Thinkpad T470p,Ultrabook,14.00,8,Windows 10,1.70,1943.00,Full HD,2560,1440,No,Yes,No,Intel,2.80,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GT 940MX
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.60,4,Windows 10,2.10,469.00,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,1024,0,HDD,No,AMD,Radeon 520
Acer,Aspire R7,2 in 1 Convertible,13.30,8,Windows 10,1.60,789.01,Full HD,1920,1080,Yes,Yes,No,Intel,2.50,Core i7 6500U,256,0,SSD,No,Intel,HD Graphics 520
Asus,ZenBook Flip,2 in 1 Convertible,13.30,8,Windows 10,1.27,928.00,Full HD,1920,1080,Yes,Yes,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Dell,Inspiron 3567,Notebook,15.60,4,Linux,2.30,598.90,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,AMD,Radeon R5 M430
Dell,Latitude 3380,Notebook,13.30,4,Windows 10,1.65,689.00,Standard,1366,768,No,No,No,Intel,2.00,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520
HP,EliteBook 1040,Ultrabook,14.00,8,Windows 10,1.43,1500.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i7 6500U,256,0,SSD,No,Intel,HD Graphics 520
Dell,Inspiron 3567,Notebook,15.60,8,Windows 10,2.14,539.95,Standard,1366,768,No,No,No,Intel,2.50,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620
Lenovo,ThinkPad E480,Ultrabook,14.00,8,Windows 10,1.75,1215.38,Full HD,1920,1080,No,Yes,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,AMD,Radeon RX 550
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.60,16,Windows 10,2.00,1899.00,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,2.80,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050
Chuwi,LapBook 12.3,Notebook,12.30,6,Windows 10,1.40,449.00,Standard,2736,1824,No,Yes,Yes,Intel,1.10,Celeron Quad Core N3450,64,0,Flash Storage,No,Intel,HD Graphics 500
HP,ProBook 650,Notebook,15.60,8,Windows 10,2.31,1427.00,Full HD,1920,1080,No,No,No,Intel,2.90,Core i7 7820HQ,256,0,SSD,No,Intel,HD Graphics 630
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.60,8,Linux,2.30,597.00,Full HD,1920,1080,No,No,No,Intel,2.40,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 940MX
Dell,Alienware 17,Gaming,17.30,16,Windows 10,4.42,2799.00,Standard,2560,1440,No,Yes,No,Intel,2.90,Core i7 7820HK,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070
Dell,Inspiron 7577,Gaming,15.60,8,Windows 10,2.62,1159.00,Full HD,1920,1080,No,Yes,No,Intel,2.80,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
Dell,Inspiron 5570,Notebook,15.60,8,Windows 10,2.02,1142.40,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530
Dell,Latitude 5480,Ultrabook,14.00,8,Linux,1.60,1099.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7600U,256,0,SSD,No,Intel,HD Graphics 620
HP,Omen 17-w207nv,Gaming,17.30,12,Windows 10,3.35,1999.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070
Mediacom,FlexBook Edge,2 in 1 Convertible,11.60,4,Windows 10,1.16,299.00,Full HD,1920,1080,Yes,Yes,No,Intel,1.10,Celeron Dual Core N3350,32,0,SSD,No,Intel,HD Graphics 500
Samsung,Chromebook 3,Netbook,11.60,4,Chrome OS,1.15,269.00,Standard,1366,768,No,No,No,Intel,1.60,Celeron Dual Core N3060,16,0,Flash Storage,No,Intel,HD Graphics 400
Lenovo,Thinkpad 13,Notebook,13.30,8,Windows 10,1.40,1010.00,Full HD,1920,1080,No,Yes,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320s-14IKB,Notebook,14.00,4,Windows 10,1.70,599.00,Full HD,1920,1080,No,Yes,No,Intel,2.70,Core i3 7130U,128,0,SSD,No,Intel,HD Graphics 620
Lenovo,Thinkpad T570,Workstation,15.60,16,Windows 10,2.30,2445.00,4K Ultra HD,3840,2160,No,Yes,No,Intel,2.80,Core i7 7600U,512,0,SSD,No,Nvidia,GeForce 940MX
Lenovo,Thinkpad P51,Notebook,15.60,16,Windows 10,2.50,2449.00,Full HD,1920,1080,No,No,No,Intel,2.90,Core i7 7820HQ,512,0,SSD,No,Nvidia,Quadro M2200M
Asus,Rog Strix,Gaming,17.30,8,Windows 10,3.20,1695.00,Full HD,1920,1080,No,No,No,AMD,3.20,Ryzen 1600,256,1024,SSD,HDD,AMD,Radeon RX 580
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.60,4,Windows 10,2.10,347.00,Standard,1366,768,No,No,No,Intel,1.60,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics 400
